location_id,location_type,address,baidu_lat,baidu_lng,city,title,province_state,region,sales_phone,trt_id,country
cnsc9780,"['supercharger', 'standard charger']",四川省成都市双流区新裕路466号天目中心地下停车场B2层2210车位旁（入口：雅和北三路）,30.5191630000,104.0836100000,成都,成都市天目中心超级充电站（V3 | 新国标）,四川,asia_pacific,400 910 0707,27682,中国大陆
cnsc9781,"['supercharger', 'standard charger']",四川省甘孜藏族自治州炉霍县新都镇G317炉霍中学西侧明洁酒店地面停车场（入口：317国道）,31.4046710000,100.6792280000,甘孜,炉霍县明洁酒店超级充电站（新国标）,四川,asia_pacific,400 910 0707,26387,中国大陆
cnsc9782,"['supercharger', 'standard charger']",北京市昌平区立汤路祥和珠宝古玩城停车场（入口：立汤路）,40.0628140000,116.4200490000,北京,北京市祥和古玩城超级充电站（V3 | 新国标）,北京,asia_pacific,400 910 0707,30554,中国大陆
cnsc9783,"['supercharger', 'standard charger']",山东省济宁市任城区崇文大道409号爱琴海购物公园地下一层停车场（入口：崇文大道）,35.4284730000,116.7035500000,济宁,济宁爱琴海超级充电站（V3 | 新国标）,山东,asia_pacific,400 910 0707,16392,中国大陆
cnsc9784,"['supercharger', 'standard charger']",山东省济南市槐荫区经十路连城广场地下停车场B3层B323立柱旁（入口：纬十二路）,36.6556690000,116.9878140000,济南,济南连城广场超级充电站（V3 | 新国标）,山东,asia_pacific,400 910 0707,29113,中国大陆
cnsc9785,"['supercharger', 'standard charger']",河南省商丘市梁园区睢阳大道99号日月湖酒店地面停车场（入口：睢阳南路辅道）,34.4190090000,115.6873620000,商丘,商丘日月湖酒店超级充电站（V3 | 新国标）,河南,asia_pacific,400 910 0707,30471,中国大陆
cnsc9786,"['supercharger', 'standard charger']",重庆市渝北区丽园路18号北城阳光尚线地下停车场B2层（入口：丽园路）,29.6076460000,106.5293490000,重庆,重庆北城阳光尚线超级充电站（V3 | 新国标）,重庆,asia_pacific,400 910 0707,16473,中国大陆
cnsc9787,"['supercharger', 'standard charger']",四川省阿坝藏族羌族自治州马尔康市G317国道维也纳酒店地面停车场（入口：绕城路一段）,31.8950280000,102.2469860000,阿坝藏族羌族自治州,马尔康市维也纳酒店超级充电站（新国标）,四川,asia_pacific,400 910 0707,26388,中国大陆
cndc1102822,['destination charger'],西藏自治区阿里地区普兰县冈仁波齐大本营冈仁波齐观景酒店停车场,30.9624400000,81.2608800000,阿里地区,冈仁波齐观景酒店目的地充电站(新国标),西藏,asia_pacific, 0897-2601288,31556,中国大陆
kaohsiungeskylandsupercharger,"['supercharger', 'standard charger']",804 高雄市鼓山区大顺一路115号B3,22.6561380000,120.3062770000,台湾,高雄 - 义享天地超级充电站,台湾,asia_pacific,0809 007518,0,中国大陆
cnsc9788,"['supercharger', 'standard charger']",江苏省扬州市高邮市捍海路与海潮东路交汇处东南侧吾悦广场地下停车场B1层B049-B056车位（入口：丰瑞路）,32.7838720000,119.4887800000,高邮,高邮吾悦广场超级充电站（V3 | 新国标）,江苏,asia_pacific,400 910 0707,29093,中国大陆
shenzhenbaoandachanbay,['service'],广东省深圳市宝安区西乡街道金港商务大厦101-108,22.5593840000,113.8712570000,深圳,深圳宝安大铲湾服务中心,广东,asia_pacific, 0755-33347265,25997,中国大陆
cndc1103280,['destination charger'],西藏自治区日喀则市仲巴县宝钢北路88号,29.7623900000,84.0434200000,日喀则,仲巴曲尼措宾馆目的地充电站(新国标),西藏,asia_pacific, 0892-8356666,31881,中国大陆
cnsc9789,"['supercharger', 'standard charger']",北京市海淀区东升镇双清路77号双清大厦地下停车场B2层（入口：双清路）,40.0123120000,116.3474730000,北京,北京双清大厦超级充电站（V3 | 新国标）,北京,asia_pacific,400 910 0707,30866,中国大陆
cnsc9790,"['supercharger', 'standard charger']",山东省烟台市福山区长江路160号地下一层停车场（入口：嵩山路）,37.5667930000,121.2569140000,烟台,烟台开发区复地活力广场超级充电站（V3 | 新国标）,山东,asia_pacific,400 910 0707,30719,中国大陆
cnsc9665,"['supercharger', 'standard charger']",上海市浦东新区齐爱路入口B2层北A区279-281,31.2202740000,121.6619980000,上海,上海唐镇阳光城超级充电站（新国标）,上海,asia_pacific,400 910 0707,12586,中国大陆
cnsc9791,"['supercharger', 'standard charger']",海南省三亚市天涯区回新路118号（入口：回新路）,18.2804930000,109.4924140000,三亚,三亚市奥克伍德雅居酒店超级充电站（V3 | 新国标）,海南,asia_pacific,400 910 0707,27621,中国大陆
cnsc9792,"['supercharger', 'standard charger']",重庆市渝北区秋成大道99号大悦城地下停车场B2层C区6车道364-369车位（入口：锦熙街）,29.7274900000,106.5779610000,重庆,重庆市大悦城超级充电站（V3 | 新国标）,重庆,asia_pacific,400 910 0707,26329,中国大陆
